,country,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit,code,best_film,poster
0,Afghanistan,1,20000000.0,20000000.0,75011029,75011029.0,75011029,75011029.0,-4199922.0,-4199922.0,55011029.0,55011029.0,AFG,Il cacciatore di aquiloni,https://aforismi.meglio.it/img/film/il-cacciatore-di-aquiloni.jpg
1,Algeria,1,16096450.0,16096450.0,22963701,22963701.0,22963701,22963701.0,-15775750.0,-15775750.0,6867251.0,6867251.0,DZA,Days of Glory,https://cdn.shopify.com/s/files/1/0747/3829/products/HP2565_6434f90b-994d-4c02-96c7-67341b610e81_1024x1024.jpg
2,Angola,1,500000.0,500000.0,101729,101729.0,101729,101729.0,-399630.0,-399630.0,-398271.0,-398271.0,AGO,Rubber,https://i.pinimg.com/736x/56/9a/3c/569a3cb545ee2040e5ff8215e27593c0--tire-movie-movie-tv.jpg
3,Argentina,17,162232387.225188,9543081.60148166,391307270,23018074.7058824,391307270,23018074.7058824,-81594531.2251882,-4799678.30736401,229074882.774812,13474993.1044007,ARG,Focus - Niente è come sembra,http://www.nerdsrevenge.it/wp-content/uploads/2015/03/Focus-Niente-e-come-sembra.jpg
4,Australia,125,7064687229.97303,56517497.8397842,19705530424,157644243.392,19705530424,157644243.392,638510165.026974,5108081.32021579,12640843194.027,101126745.552216,AUS,Aquaman,http://hdqwalls.com/download/aquaman-2018-movie-poster-1z-2160x3840.jpg
5,Austria,13,596860938.231603,45912379.8639695,1897507730,145962133.076923,1897507730,145962133.076923,-145589919.231603,-11199224.5562772,1300646791.7684,100049753.212954,AUT,Spectre,https://fr.web.img5.acsta.net/pictures/15/10/06/15/23/066601.jpg
6,Bahamas,1,150000000.0,150000000.0,616501619,616501619.0,616501619,616501619.0,17445960.0,17445960.0,466501619.0,466501619.0,BHS,Casino Royale,https://picfiles.alphacoders.com/349/349733.jpg
7,Bahrain,1,14700000.0,14700000.0,14603177,14603177.0,14603177,14603177.0,-13111985.0,-13111985.0,-96823.0,-96823.0,BHR,"New York, I Love You",http://images2.fanpop.com/images/photos/8200000/Official-Poster-new-york-i-love-you-8236556-1728-2560.jpg
8,Belgium,66,1333042784.3632,20197617.944897,2560758558,38799372.0909091,2560758558,38799372.0909091,-738818766.3632,-11194223.7327758,1227715773.6368,18601754.1460121,BEL,I Puffi,http://aforismi.meglio.it/img/film/I_puffi.jpg
9,Bosnia and Herzegovina,2,27220200.0,13610100.0,12532902,6266451.0,12532902,6266451.0,-25238178.0,-12619089.0,-14687298.0,-7343649.0,BIH,The Hunting Party - I cacciatori,https://m.media-amazon.com/images/I/51ydmeqR93L.jpg
10,Brazil,13,351356372.759343,27027413.2891802,1334865659,102681973.769231,1334865659,102681973.769231,60312613.2406572,4639431.78774286,983509286.240657,75654560.4800506,BRA,Fast & Furious 5,https://upload.wikimedia.org/wikipedia/en/0/0c/Fast_Five_poster.jpg
11,British Virgin Islands,1,40000000.0,40000000.0,42883181,42883181.0,42883181,42883181.0,-39870922.0,-39870922.0,2883181.0,2883181.0,VGB,The Warlords - La battaglia dei tre guerrieri,https://thmoviehdd.com/wp-content/uploads/2019/11/The-Warlords-2007-3-อหังการ์-เจ้าสุริยา.jpg
12,Bulgaria,18,934017778.2,51889876.5666667,2176769398,120931633.222222,2176769398,120931633.222222,-196443000.2,-10913500.0111111,1242751619.8,69041756.6555556,BGR,300,https://www.panicposters.com/media/catalog/product/cache/1/image/600x842.40687679083/9df78eab33525d08d6e5fb8d27136e95/g/p/gpp51015-300-tonight.jpg
13,Cambodia,2,78000000.0,39000000.0,204337248,102168624.0,204337248,102168624.0,25358309.0,12679154.5,126337248.0,63168624.0,KHM,Proprio lui?,https://cdn.blogo.it/qKkXNzZhxMIOBnhcKJyim_s6kn0=/1920x0/smart/https://static.blogo.it/app/uploads/sites/3/2017/01/proprio-lui-nuovo-trailer-italiano-locandine-e-spot-tv-2.jpg
14,Canada,399,17900515485.1219,44863447.3311326,49667120244,124478998.105263,49667120244,124478998.105263,2176382428.87809,5454592.55357917,31766604758.8781,79615550.7741306,CAN,Fast & Furious 7,https://upload.wikimedia.org/wikipedia/en/b/b8/Furious_7_poster.jpg
15,Cayman Islands,1,230000.0,230000.0,2260712,2260712.0,2260712,2260712.0,-125021.0,-125021.0,2030712.0,2030712.0,CYM,Bronson,https://flxt.tmsimg.com/assets/p196299_p_v8_aa.jpg
16,Chile,5,41000000.0,8200000.0,61291921,12258384.2,61291921,12258384.2,-14690362.0,-2938072.4,20291921.0,4058384.2,CHL,The 33,https://1.bp.blogspot.com/-DvR98z-itN4/VlaGUtIUUAI/AAAAAAAAEfw/srMoNgnfTMc/s1600/Los%2B33.jpg
17,China,136,9013305309.14506,66274303.7437137,28034528247,206136237.110294,28034528247,206136237.110294,-974328561.145065,-7164180.59665489,19021222937.8549,139861933.36658,CHN,Fast & Furious 7,https://upload.wikimedia.org/wikipedia/en/b/b8/Furious_7_poster.jpg
18,Colombia,6,170400000.0,28400000.0,298832989,49805498.1666667,298832989,49805498.1666667,-32546376.0,-5424396.0,128432989.0,21405498.1666667,COL,Barry Seal - Una storia americana,https://www.filmtv.it/imgbank/GALLERYXL/R201706/american-made-02_rgb.jpg
19,Croatia,2,125000000.0,62500000.0,94167079,47083539.5,94167079,47083539.5,-93205503.0,-46602751.5,-30832921.0,-15416460.5,HRV,Robin Hood - L'origine della leggenda,https://www.spetteguless.it/wp-content/uploads/2018/10/vert_RH_teaser.jpg
20,Cyprus,2,7000000.0,3500000.0,68018606,34009303.0,68018606,34009303.0,-4337599.0,-2168799.5,61018606.0,30509303.0,CYP,Cafarnao - Caos e miracoli,https://pad.mymovies.it/filmclub/2018/04/054/locandinapg1.jpg
21,Czech Republic,35,2024618210.22063,57846234.5777322,4255184961,121576713.171429,4255184961,121576713.171429,-453125704.220627,-12946448.6920179,2230566750.77937,63730478.5936964,CZE,Mission: Impossible - Protocollo fantasma,https://www.themoviedb.org/t/p/original/n9tifcnxM3W3PUniJGslJxC8Ewy.jpg
22,Denmark,42,702697358.933997,16730889.4984285,1906235104,45386550.0952381,1906235104,45386550.0952381,38855735.0660027,925136.549190541,1203537745.066,28655660.5968096,DNK,The Lego Movie,https://image.tmdb.org/t/p/original/dMzloXrcyNgNY3YPquJpKTntbK.jpg
23,Ecuador,1,3000000.0,3000000.0,12594630,12594630.0,12594630,12594630.0,3529624.0,3529624.0,9594630.0,9594630.0,ECU,Maria Full of Grace,http://www.nordicposters.com/p2/maria_full_of_grace_04.jpg
24,Egypt,1,6700000.0,6700000.0,7507008,7507008.0,7507008,7507008.0,-6168003.0,-6168003.0,807008.0,807008.0,EGY,E ora dove andiamo?,https://image.tmdb.org/t/p/w500/gaSNIOr6Jjk2v1AWFnVwBUTA7Vp.jpg
25,Estonia,1,721565.0,721565.0,1024132,1024132.0,1024132,1024132.0,-577064.0,-577064.0,302567.0,302567.0,EST,Tangerines - Mandarini,https://movieplayer.net-cdn.it/t/images/2016/03/04/poster-tangerines-usi_jpg_1100x0_crop_q85.jpg
26,Finland,12,238209832.777713,19850819.3981427,630448923,52537410.25,630448923,52537410.25,-77275016.777713,-6439584.73147608,392239090.222287,32686590.8518573,FIN,Angry Birds - Il film,http://pad.mymovies.it/filmclub/2014/10/027/locandinapg2.jpg
27,France,428,12006288080.677,28052074.9548529,32133367641,75077961.7780374,32133367641,75077961.7780374,-1346840453.67704,-3146823.48989963,20127079560.323,47025886.8231845,FRA,Cattivissimo me 2,https://1.bp.blogspot.com/-aTSIwsOJmnE/Ur2wLgd-a0I/AAAAAAAAAIE/JcKmkAU2Vg4/s1600/cattivissimo-me-2-poster.jpg
28,Georgia,2,12721565.0,6360782.5,1341076,670538.0,1341076,670538.0,-12559585.0,-6279792.5,-11380489.0,-5690244.5,GEO,Tangerines - Mandarini,https://movieplayer.net-cdn.it/t/images/2016/03/04/poster-tangerines-usi_jpg_1100x0_crop_q85.jpg
29,Germany,404,16489123530.5833,40814662.2044141,36256810258,89744579.8465347,36256810258,89744579.8465347,-933569045.583309,-2310814.46926562,19767686727.4167,48929917.642120500,DEU,Jumanji - Benvenuti nella giungla,https://s3-eu-west-1.amazonaws.com/static.screenweek.it/movie/29423/poster/ita/share.jpg
30,Greece,5,57440400.0,11488080.0,74922444,14984488.8,74922444,14984488.8,-21870659.0,-4374131.8,17482044.0,3496408.8,GRC,The Founder,http://de.web.img2.acsta.net/pictures/16/12/22/17/13/435260.jpg
31,Guatemala,1,500000.0,500000.0,5060438,5060438.0,5060438,5060438.0,-262699.0,-262699.0,4560438.0,4560438.0,GTM,Monsters,https://www.dvdsreleasedates.com/posters/800/M/Monsters-movie-poster.jpg
32,Hong Kong,68,3697834799.24358,54379923.5182879,9966449829,146565438.661765,9966449829,146565438.661765,-354932831.243575,-5219600.45946433,6268615029.75643,92185515.1434768,HKG,Transformers 4 - L'era dell'estinzione,https://images.everyeye.it/img-screenshot/transformers-4-dell-estinzione-v1-393659.jpg
33,Hungary,30,1576029189.88813,52534306.3296044,3651004856,121700161.866667,3651004856,121700161.866667,-241644380.888131,-8054812.69627105,2074975666.11187,69165855.5370623,HUN,Sopravvissuto - The Martian,https://i0.wp.com/www.badtaste.it/wp/wp-content/uploads/2015/06/kpaa6eJ.jpg
34,Iceland,8,121573953.272063,15196744.1590078,314055777,39256972.125,314055777,39256972.125,-39692108.2720626,-4961513.53400783,192481823.727937,24060227.9659922,ISL,Everest,https://3238leblogdemarvelll-1278.kxcdn.com/wp-content/uploads/2015/09/everest-movie-2015-poster-1.jpg
35,India,126,3106518435.88135,24654908.2212806,8591491188,68186438.0,8591491188,68186438.0,-379212821.881352,-3009625.57048692,5484972752.11865,43531529.7787194,IND,Jumanji - Benvenuti nella giungla,https://s3-eu-west-1.amazonaws.com/static.screenweek.it/movie/29423/poster/ita/share.jpg
36,Indonesia,3,21600000.0,7200000.0,17800063,5933354.33333333,17800063,5933354.33333333,-14834346.0,-4944782.0,-3799937.0,-1266645.66666667,IDN,The Raid - Redenzione,http://image.tmdb.org/t/p/original/owbpAPpgUGUmK2O0Ig9T6hbI6ED.jpg
37,Iran,3,19270700.0,6423566.66666667,43336170,14445390.0,43336170,14445390.0,-9465923.0,-3155307.66666667,24065470.0,8021823.33333333,IRN,Una separazione,https://quinlan.it/upload/images/2011/02/una-separazione-poster.jpg
38,Ireland,39,896045852.700061,22975534.684617,1701716627,43633759.6666667,1701716627,43633759.6666667,-253226442.700061,-6492985.71025798,805670774.299939,20658224.9820497,IRL,"Che pasticcio, Bridget Jones!",https://pad.mymovies.it/filmclub/2005/01/001/locandinapg1.jpg
39,Isle Of Man,3,55169000.0,18389666.6666667,56001247,18667082.3333333,56001247,18667082.3333333,-49353926.0,-16451308.6666667,832247.0,277415.666666667,IMN,Miss Potter,https://fr.web.img4.acsta.net/medias/nmedia/18/60/15/38/18749142.jpg
40,Israel,4,32646801.8131998,8161700.45329995,55542127,13885531.75,55542127,13885531.75,162740.186800197,40685.0467000492,22895325.1868002,5723831.29670005,ISR,Il debito,https://www.filmtv.it/imgbank/GALLERYXL/DE/043787AK.jpg
41,Italy,100,3303626216.14394,33036262.1614394,6695533666,66955336.66,6695533666,66955336.66,-1150413715.14394,-11504137.1514394,3391907449.85606,33919074.4985606,ITA,Spectre,https://fr.web.img5.acsta.net/pictures/15/10/06/15/23/066601.jpg
42,Japan,122,6509276489.77406,53354725.3260169,23203751610,190194685.327869,23203751610,190194685.327869,1027744466.22594,8424134.96906507,16694475120.2259,136839960.001852,JPN,Fast & Furious 7,https://upload.wikimedia.org/wikipedia/en/4/4f/Poster_-_Fast_and_Furious_Tokyo_Drift.jpg
43,Jordan,2,111500000.0,55750000.0,630416573,315208286.5,630416573,315208286.5,117188346.0,58594173.0,518916573.0,259458286.5,JOR,Sopravvissuto - The Martian,https://i0.wp.com/www.badtaste.it/wp/wp-content/uploads/2015/06/kpaa6eJ.jpg
44,Kazakhstan,1,18000000.0,18000000.0,26527510,26527510.0,26527510,26527510.0,-12294239.0,-12294239.0,8527510.0,8527510.0,KAZ,Mongol,https://flxt.tmsimg.com/assets/p159795_p_v10_at.jpg
45,Kenya,2,45000000.0,22500000.0,85863015,42931507.5,85863015,42931507.5,-8697994.0,-4348997.0,40863015.0,20431507.5,KEN,The Constant Gardener - La cospirazione,https://images03.kaleidescape.com/transformed/covers/1134x1624s/214/21419626.jpg
46,Latvia,1,9500000.0,9500000.0,14776760,14776760.0,14776760,14776760.0,-2492851.0,-2492851.0,5276760.0,5276760.0,LVA,Appuntamento a Belleville,https://i.ebayimg.com/images/g/Q00AAOSwv7ZfY7f5/s-l400.jpg
47,Lebanon,4,15143130.0,3785782.5,89774363,22443590.75,89774363,22443590.75,-10893152.0,-2723288.0,74631233.0,18657808.25,LBN,Cafarnao - Caos e miracoli,https://pad.mymovies.it/filmclub/2018/04/054/locandinapg1.jpg
48,Liechtenstein,1,13000000.0,13000000.0,17471727,17471727.0,17471727,17471727.0,-8100722.0,-8100722.0,4471727.0,4471727.0,LIE,"Paris, je t'aime",http://www.impawards.com/2007/posters/paris_je_taime_ver6.jpg
49,Lithuania,1,15000000.0,15000000.0,5926410,5926410.0,5926410,5926410.0,-12793595.0,-12793595.0,-9073590.0,-9073590.0,LTU,Transsiberian,https://pics.filmaffinity.com/transsiberian-631560569-large.jpg
50,Luxembourg,19,346272831.3632,18224885.861221,287645582,15139241.1578947,287645582,15139241.1578947,-237557041.3632,-12503002.1770105,-58627249.3631998,-3085644.70332631,LUX,Match Point,https://i.pinimg.com/originals/ec/71/06/ec7106fb990afcd429ecbf848aaf8fea.jpg
51,Malaysia,1,6000000.0,6000000.0,1023510,1023510.0,1023510,1023510.0,-5234439.0,-5234439.0,-4976490.0,-4976490.0,MYS,Color Out of Space,https://i.pinimg.com/736x/f0/c3/99/f0c399214735fecbe13ee5f1443590f6.jpg
52,Malta,9,903000000.0,100333333.333333,2968477155,329830795.0,2968477155,329830795.0,49465125.0,5496125.0,2065477155.0,229497461.666667,MLT,Il codice da Vinci,http://www.paginainizio.com/frasi/film-locandine-big/ilcodicedavinci.jpg
53,Mexico,58,2080609558.76799,35872578.5994481,5869260115,101194139.913793,5869260115,101194139.913793,364287049.232009,6280811.19365533,3788650556.23201,65321561.314345,MEX,Spectre,https://fr.web.img5.acsta.net/pictures/15/10/06/15/23/066601.jpg
54,Monaco,3,37988170.0,12662723.3333333,141871405,47290468.3333333,141871405,47290468.3333333,-19975083.0,-6658361.0,103883235.0,34627745.0,MCO,The Transporter Legacy,https://static.rbcasting.com/the-transporter-legacy-trailer-poster-2015.jpg
55,Morocco,12,1012596450.0,84383037.5,2780731058,231727588.166667,2780731058,231727588.166667,-184057930.0,-15338160.8333333,1768134608.0,147344550.666667,MAR,Spectre,https://fr.web.img5.acsta.net/pictures/15/10/06/15/23/066601.jpg
56,Netherlands,25,526523110.0,21060924.4,1277409362,51096374.48,1277409362,51096374.48,-80980756.0,-3239230.24,750886252.0,30035450.08,NLD,Dunkirk,https://cdn.traileraddict.com/content/warner-bros-pictures/dunkirk-poster-7.jpg
57,New Zealand,30,2472347931.77893,82411597.7259643,9483352031,316111734.366667,9483352031,316111734.366667,697233325.221071,23241110.8407024,7011004099.22107,233700136.640702,NZL,Il Signore degli Anelli - Il ritorno del re,https://image.tmdb.org/t/p/original/wTlfQeYYUACgWABOknPVWgD5SBZ.jpg
58,Norway,25,636202406.735757,25448096.2694303,1628579234,65143169.36,1628579234,65143169.36,-128883267.735757,-5155330.70943029,992376827.264243,39695073.0905697,NOR,Mission: Impossible - Fallout,https://image.tmdb.org/t/p/original/GHA5AP4jEZEdt2WY6m2zJETrHI.jpg
59,Palestine,2,4100000.0,2050000.0,4194346,2097173.0,4194346,2097173.0,-2286157.0,-1143078.5,94346.0,47173.0,PSE,Paradise Now,http://www.popentertainment.com/ParadiseNow.jpg
60,Panama,2,37000000.0,18500000.0,11738884,5869442.0,11738884,5869442.0,-32091416.0,-16045708.0,-25261116.0,-12630558.0,PAN,Escobar,http://fr.web.img6.acsta.net/pictures/18/03/08/17/46/5852461.jpg
61,Philippines,1,50000000.0,50000000.0,69865924,69865924.0,69865924,69865924.0,8360760.0,8360760.0,19865924.0,19865924.0,PHL,Curioso come George,http://image.tmdb.org/t/p/original/p04KQi64uQwdSx3uB0PcztZQ6ep.jpg
62,Poland,14,382465324.718668,27318951.7656191,733495972,52392569.4285714,733495972,52392569.4285714,-173684555.718668,-12406039.6941906,351030647.281332,25073617.6629523,POL,Le cronache di Narnia - Il principe Caspian,https://pad.mymovies.it/filmclub/2007/09/068/locandinapg1.jpg
63,Portugal,5,101810280.0,20362056.0,56304946,11260989.2,56304946,11260989.2,-77876226.0,-15575245.2,-45505334.0,-9101066.8,PRT,Hellboy,http://cdn.collider.com/wp-content/uploads/2019/02/hellboy-reboot-poster.jpg
64,Puerto Rico,1,30000000.0,30000000.0,9330075,9330075.0,9330075,9330075.0,-25953571.0,-25953571.0,-20669925.0,-20669925.0,PRI,Replicas,https://www.badtaste.it/wp-content/uploads/2018/10/replicas_ver3.jpg
65,Qatar,4,23143130.0,5785782.5,131137972,32784493.0,131137972,32784493.0,9909966.0,2477491.5,107994842.0,26998710.5,QAT,Cafarnao - Caos e miracoli,https://pad.mymovies.it/filmclub/2018/04/054/locandinapg1.jpg
66,Romania,20,514927479.0,25746373.95,898504085,44925204.25,898504085,44925204.25,-99908387.0,-4995419.35,383576606.0,19178830.3,ROU,Van Helsing,https://image.tmdb.org/t/p/original/9oLBcedLd0ugldzByYfAdr19EZh.jpg
67,Russia,20,410612617.302973,20530630.8651487,844423948,42221197.4,844423948,42221197.4,-181336587.302973,-9066829.36514865,433811330.697027,21690566.5348514,RUS,Jack Ryan - L'iniziazione,https://www.stardust.it/uploads/img/movie/poster/d5789e4cb4428cfd6296b379be61e5491554675187-1000w.jpg
68,Saudi Arabia,2,35000000.0,17500000.0,5762446,2881223.0,5762446,2881223.0,-34957867.0,-17478933.5,-29237554.0,-14618777.0,SAU,Un alibi perfetto,https://www.ilcineocchio.it/cine/wp-content/uploads/2020/07/Alibiperfetto.jpg
69,Serbia,3,67500000.0,22500000.0,174501672,58167224.0,174501672,58167224.0,18220464.0,6073488.0,107001672.0,35667224.0,SRB,Crawl - Intrappolati,https://www.filmhorror.net/wp-content/uploads/2019/11/qFirQ078P0LdvhZbO0f24eqdw.jpg
70,Singapore,5,309619635.022624,61923927.0045249,406582508,81316501.6,406582508,81316501.6,-234881005.022624,-46976201.0045249,96962872.9773756,19392574.5954751,SGP,Valerian e la città dei mille pianeti,https://movieplayer.net-cdn.it/images/2017/05/01/valerianposter.jpg
71,Slovakia,1,35000000.0,35000000.0,25303038,25303038.0,25303038,25303038.0,-29066506.0,-29066506.0,-9696962.0,-9696962.0,SVK,L'ultima legione,http://pad.mymovies.it/filmclub/2007/01/087/locandina.jpg
72,Slovenia,2,227220200.0,113610100.0,424524437,212262218.5,424524437,212262218.5,-84586557.0,-42293278.5,197304237.0,98652118.5,SVN,Le cronache di Narnia - Il principe Caspian,https://pad.mymovies.it/filmclub/2007/09/068/locandinapg1.jpg
73,South Africa,22,1018041268.76799,46274603.1258178,3585726825,162987582.954545,3585726825,162987582.954545,298561236.232009,13570965.2832731,2567685556.23201,116712979.828728,ZAF,Il Re Leone,http://image.tmdb.org/t/p/original/xmdlYgWRFKaEHUMyPV6U7p5dInS.jpg
74,South Korea,29,675320787.279108,23286923.6992796,2171242886,74870444.3448276,2171242886,74870444.3448276,-86859147.2791075,-2995143.0096244,1495922098.72089,51583520.645548,KOR,Hotel Transylvania 3: Summer Vacation,https://i0.wp.com/teaser-trailer.com/wp-content/uploads/Hotel-Transylvania-3-New-Film-Poster.jpg
75,Spain,102,3513144811.52543,34442596.1914258,7898715432,77438386.5882353,7898715432,77438386.5882353,-1023387104.52543,-10033206.9071121,4385570620.47457,42995790.3968095,ESP,Fast & Furious 6,https://upload.wikimedia.org/wikipedia/en/3/30/Fast_%26_Furious_6_film_poster.jpg
76,Sweden,46,598977515.583663,13021250.3387753,1347252581,29288099.5869565,1347252581,29288099.5869565,-197822641.583663,-4300492.20834049,748275065.416337,16266849.2481812,SWE,Millennium - Uomini che odiano le donne,https://i.ppcdn.it/pp/pictures/pn/76980_560x800f.d774c.jpg
77,Switzerland,26,677256230.0,26048316.5384615,1007103110,38734735.0,1007103110,38734735.0,-213453796.0,-8209761.38461539,329846880.0,12686418.4615385,CHE,Man on Fire - Il fuoco della vendetta,http://aforismi.meglio.it/img/film/Man_on_fire.jpg
78,Taiwan,12,673095553.200858,56091296.1000715,2414575595,201214632.916667,2414575595,201214632.916667,36467289.7991421,3038940.81659518,1741480041.79914,145123336.816595,TWN,Vita di Pi,http://pad.mymovies.it/filmclub/2010/04/218/locandinapg2.jpg
79,Thailand,12,639437522.689713,53286460.2241428,1486274390,123856199.166667,1486274390,123856199.166667,-158090546.689713,-13174212.2241428,846836867.310287,70569738.9425239,THA,Una notte da leoni 2,https://www.tentazionecultura.it/wp-content/uploads/2011/12/una-notte-da-leoni-2-locandina.jpg
80,Tunisia,2,44657870.0,22328935.0,28429954,14214977.0,28429954,14214977.0,-38466270.0,-19233135.0,-16227916.0,-8113958.0,TUN,L'ultima legione,http://pad.mymovies.it/filmclub/2007/01/087/locandina.jpg
81,Turkey,6,321443148.0,53573858.0,1544164539,257360756.5,1544164539,257360756.5,134169226.0,22361537.6666667,1222721391.0,203786898.5,TUR,Skyfall,https://www.newdvdreleasedates.com/images/posters/large/skyfall-2012-04.jpg
82,UK,731,33663020301.3053,46050643.3670388,96723151064,132316212.125855,96723151064,132316212.125855,245102046.694664,335296.91750296,63060130762.6947,86265568.7588162,UK,Il Re Leone,http://image.tmdb.org/t/p/original/xmdlYgWRFKaEHUMyPV6U7p5dInS.jpg
83,USA,3150,145705120515.775,46255593.8145319,437428911220,138866321.022222,437428911220,138866321.022222,42559189037.2246,13510853.662611,291723790704.225,92610727.2076903,USA,Avengers: Endgame,https://cdn.shopify.com/s/files/1/1057/4964/products/avengers-endgame-vintage-movie-poster-original-1-sheet-27x41.jpg
84,Ukraine,1,30000000.0,30000000.0,108979549,108979549.0,108979549,108979549.0,1715062.0,1715062.0,78979549.0,78979549.0,UKR,Transporter 3,http://www.geourdufilm.com/wp-content/uploads/2018/07/Transporter-3-2008.jpg
85,United Arab Emirates,28,1625700000.0,58060714.2857143,4843282289,172974367.464286,4843282289,172974367.464286,55755544.0,1991269.42857143,3217582289.0,114913653.178571,ARE,Fast & Furious 7,https://upload.wikimedia.org/wikipedia/en/b/b8/Furious_7_poster.jpg
86,Venezuela,1,1400000.0,1400000.0,3217176,3217176.0,3217176,3217176.0,-70751.0,-70751.0,1817176.0,1817176.0,VEN,El abrazo de la serpiente,http://www.trigon-film.org/en/shop/Posters_One_Sheet/El_abrazo_de_la_serpiente/cover_full.jpg
87,Vietnam,1,30000000.0,30000000.0,27674124,27674124.0,27674124,27674124.0,-17011199.0,-17011199.0,-2325876.0,-2325876.0,VNM,The Quiet American,https://images-na.ssl-images-amazon.com/images/I/91jMU1zXUUL._RI_.jpg