Genre,Budget,American Income,International Income
Drama,48000000,47121859.0,76019048
Comedy,22000000,4274407.0,5271666
Action,45000000,106834564.0,224834564
Crime,100000000,154696080.0,333535934
Thriller,12000000,25885000.0,56298474
Romance,35000000,31602566.0,74558115
Adventure,93000000,315544750.0,887934303
Horror,8000000,59989.0,105983
Mystery,125000000,215409889.0,546388108
Fantasy,33000000,40119709.0,102984862
Biography,38000000,11434216.0,24690441
Sci-Fi,75000000,157299718.0,296339528
Animation,140000000,193735288.0,445135288
Family,75000000,22753426.0,36754634
History,100000000,89302687.0,169327687
Music,40000000,53359111.0,118090836
Sport,115000000,310676740.0,653779970
War,113000000,380270577.0,868390560
Musical,24000000,32722798.0,36609995
Western,35000000,40336607.0,57756408